Threads	PMDK-LinkedListStack	
1	255343	
2	322863	
4	267071	
8	184684	
10	164490	
16	180713	
18	173458	
20	172851	
22	175457	
24	174484	
26	174760	
28	175624	
30	169016	
32	165072	
34	159618	
36	157542	
40	153621	
42	146339	
44	153151	
46	147065	
48	145613	
50	147794	
52	146729	
54	144254	
56	144582	
58	146752	
60	144882	
64	140259	
68	137560	
72	138118	
76	139011	
80	140287	
