Threads	RomLog-FC-LinkedListStack	
1	977487	
2	643132	
4	730416	
8	822588	
10	815169	
16	973939	
18	909376	
20	812694	
22	787130	
24	798851	
26	769642	
28	748568	
30	725800	
32	730485	
34	761577	
36	741764	
40	713684	
42	773064	
44	762919	
46	674609	
48	719807	
50	677083	
52	735666	
54	680537	
56	771948	
58	658558	
60	642054	
64	809726	
68	744210	
72	661290	
76	616585	
80	583922	
