Threads	OneFilePTM-LF-LinkedListStack	
1	731293	
2	508389	
4	499977	
8	436536	
10	431488	
16	452993	
18	452187	
20	443820	
22	464928	
24	495374	
26	472637	
28	485623	
30	512084	
32	517497	
34	439864	
36	438587	
40	436576	
42	437448	
44	440368	
46	439424	
48	443307	
50	447466	
52	456330	
54	451885	
56	460223	
58	460874	
60	455033	
64	459045	
68	478444	
72	477877	
76	497814	
80	510885	
