Threads	DFC	
1	511056	
2	526297	
4	753361	
8	1220306	
10	1391975	
16	1937999	
18	2134703	
20	2302401	
22	2493157	
24	2501618	
26	2671975	
28	2712993	
30	2746975	
32	2800649	
34	2672094	
36	2824745	
40	2737254	
42	2641487	
44	2335881	
46	1817476	
48	2172510	
50	2447944	
52	2440083	
54	2317121	
56	2237193	
58	1975867	
60	2050706	
64	2195216	
68	1708947	
72	1240434	
76	1430249	
80	1308507	
