Threads	DFC	
1	721771	
2	330462	
4	653035	
8	1003618	
10	1117575	
16	1391875	
18	1406080	
20	1456704	
22	1482376	
24	1524800	
26	1526140	
28	1545168	
30	1554178	
32	1588920	
34	1580506	
36	1579969	
40	1638318	
42	1629374	
44	1658165	
46	1627894	
48	1657417	
50	1667981	
52	1673657	
54	1660115	
56	1698794	
58	1727097	
60	1698776	
